Text,Category Id
Rent,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Amazon,9
Clothes,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Rent,9
Best Buy,9
Best Buy,9
Rent,9
Clothes,9
Clothes,9
Amazon,9
Amazon,9
Best Buy,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Best Buy,9
Clothes,9
Clothes,9
Clothes,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Clothes,9
Clothes,9
Clothes,9
Clothes,9
Amazon,9
Clothes,9
Clothes,9
Clothes,9
Clothes,9
Best Buy,9
Amazon,9
Best Buy,9
Amazon,9
Amazon,9
Amazon,9
Coffee,2
Rent,9
Rent,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Coffee,2
Amazon,9
Best Buy,9
Best Buy,9
Clothes,9
Best Buy,9
Best Buy,9
Amazon,9
Amazon,9
Amazon,9
Best Buy,9
Best Buy,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Best Buy,9
Amazon,9
Best Buy,9
Amazon,9
Amazon,9
Best Buy,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Rent,9
Amazon,9
Rent,9
Amazon,9
Amazon,9
Rent,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Best Buy,9
Amazon,9
Rent,9
Rent,9
Amazon,9
Clothes,9
Clothes,9
Amazon,9
Clothes,9
Amazon,9
Clothes,9
Starbucks,2
Credit Card,9
Amazon,9
Clothes,9
Amazon,9
Makeup/Skin Care,9
Clothes,9
Makeup/Skin Care,9
Makeup/Skin Care,9
Amazon,9
Clothes,9
Amazon,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Clothes,9
Clothes,9
Clothes,9
Clothes,9
Starbucks,2
Phone,9
Amazon,9
Amazon,9
Best Buy,9
Amazon,9
Amazon,9
Best Buy,9
Clothes,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Credit Card,9
Super Card,2
Makeup/Skin Care,9
Best Buy,9
Phone,9
Amazon,9
Super Card,2
Amazon,9
Amazon,9
Super Card,2
Credit Card,9
Amazon,9
Coffee,2
Amazon,9
Rent,9
Rent,9
Super Card,2
Amazon,9
Makeup/Skin Care,9
Clothes,9
Amazon,9
Amazon,9
Starbucks,2
Amazon,9
Amazon,9
Phone,9
Coffee,2
Makeup/Skin Care,9
Amazon,9
Amazon,9
Super Card,2
Amazon,9
Sub Box,9
Makeup/Skin Care,9
Super Card,2
Sub Box,9
Super Card,2
Coffee,2
Sub Box,9
Makeup/Skin Care,9
Sub Box,9
Sub Box,9
Super Card,2
Credit Card,9
Coffee,2
Amazon,9
Makeup/Skin Care,9
Phone,9
Super Card,2
Coffee,2
Amazon,9
Amazon,9
Super Card,2
Amazon,9
Starbucks,2
Super Card,2
Sub Box,9
Super Card,2
Amazon,9
Super Card,2
Clothes,9
Coffee,2
Coffee,2
Clothes,9
Rent,9
Rent,9
Super Card,2
Sub Box,9
Sub Box,9
Credit Card,9
Phone,9
Clothes,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Amazon,9
Coffee,2
Amazon,9
Tax Refund,9
Amazon,9
Tax Refund,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Best Buy,9
Clothes,9
Makeup/Skin Care,9
Makeup/Skin Care,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Clothes,9
Credit Card,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Sub Box,9
Sub Box,9
Sub Box,9
Best Buy,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Clothes,9
Best Buy,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Sub Box,9
Amazon,9
Amazon,9
Amazon,9
Sub Box,9
Amazon,9
Sub Box,9
Clothes,9
Amazon,9
Phone,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Sub Box,9
Makeup/Skin Care,9
Amazon,9
Coffee,2
Driving,9
Credit Card,9
Driving,9
Rent,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Amazon,9
Coffee,2
Amazon,9
Amazon,9
Medical,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Sub Box,9
Clothes,9
Best Buy,9
Coffee,2
Amazon,9
Amazon,9
Coffee,2
Credit Card,9
Makeup/Skin Care,9
Starbucks,2
Sub Box,9
Makeup/Skin Care,9
Rent,9
Sub Box,9
Rent,9
Amazon,9
Makeup/Skin Care,9
Amazon,9
Sub Box,9
Sub Box,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Amazon,9
Coffee,2
Makeup/Skin Care,9
Clothes,9
Makeup/Skin Care,9
Amazon,9
Coffee,2
Coffee,2
Makeup/Skin Care,9
Amazon,9
Credit Card,9
Best Buy,9
Phone,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Makeup/Skin Care,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Amazon,9
Best Buy,9
Amazon,9
Coffee,2
Coffee,2
Amazon,9
Amazon,9
Coffee,2
Coffee,2
Amazon,9
Amazon,9
Best Buy,9
Clothes,9
Best Buy,9
Clothes,9
Driving,9
Sub Box,9
Best Buy,9
Clothes,9
Makeup/Skin Care,9
Clothes,9
Makeup/Skin Care,9
Coffee,2
Amazon,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Clothes,9
Coffee,2
Coffee,2
Makeup/Skin Care,9
Driving,9
Driving,9
Coffee,2
Amazon,9
Credit Card,9
Rent,9
Best Buy,9
Sub Box,9
Makeup/Skin Care,9
Makeup/Skin Care,9
Amazon,9
Coffee,2
Coffee,2
Sub Box,9
Best Buy,9
Rent,9
Sub Box,9
Clothes,9
Rent,9
Credit Card,9
Amazon,9
Sub Box,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Rent,9
Phone,9
Makeup/Skin Care,9
Amazon,9
Makeup/Skin Care,9
Amazon,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Makeup/Skin Care,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Amazon,9
Clothes,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Sub Box,9
Amazon,9
Amazon,9
Clothes,9
Makeup/Skin Care,9
Amazon,9
Clothes,9
Best Buy,9
Best Buy,9
Rent,9
Clothes,9
Makeup/Skin Care,9
Sub Box,9
Sub Box,9
Clothes,9
Makeup/Skin Care,9
Sub Box,9
Clothes,9
Coffee,2
Coffee,2
Amazon,9
Amazon,9
Clothes,9
Sub Box,9
Coffee,2
Credit Card,9
Clothes,9
Amazon,9
Phone,9
Clothes,9
Super Card,2
Driving,9
Amazon,9
Amazon,9
Amazon,9
Starbucks,2
Amazon,9
Amazon,9
Makeup/Skin Care,9
Amazon,9
Clothes,9
Super Card,2
Makeup/Skin Care,9
Clothes,9
Amazon,9
Best Buy,9
Best Buy,9
Best Buy,9
Clothes,9
Amazon,9
Best Buy,9
Amazon,9
Best Buy,9
Best Buy,9
Clothes,9
Amazon,9
Clothes,9
Clothes,9
Clothes,9
Makeup/Skin Care,9
Clothes,9
Credit Card,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Amazon,9
Clothes,9
Clothes,9
Makeup/Skin Care,9
Super Card,2
Makeup/Skin Care,9
Makeup/Skin Care,9
Makeup/Skin Care,9
Amazon,9
Amazon,9
Rent,9
Amazon,9
Clothes,9
Amazon,9
