Rent,Transport,Food,Utilities,Entertainment,Savings,Debt Payments,Insurance,Eating_Out,Health,Education,Miscellaneous
0.34943588113777213,0.0578420467185762,0.3251231527093596,0.1314158588908311,0.06594628952804706,0.07023677101541397,,,,,,
0.2768058690744921,0.06645033860045146,0.36244356659142213,0.1400959367945824,0.05770316027088036,0.09650112866817157,,,,,,
0.24139564256394064,0.053836438269655826,0.4409535838332807,0.15835175244711086,0.022102936532996525,0.08335964635301547,,,,,,
0.15057618437900128,0.0560819462227913,0.504865556978233,0.14007682458386683,0.05544174135723432,0.09295774647887324,,,,,,
0.24613951011714594,0.016107561235356765,0.43636847710330146,0.09664536741214057,0.0859957401490948,0.11874334398296062,,,,,,
0.2307169092640457,0.07373146510678817,0.31723575023806283,0.15208815127193578,0.03332879880288396,0.1928989253162835,,,,,,
0.2529556970248149,0.06496037417175522,0.42133298687800447,0.05963362348967131,0.09211381057554893,0.1090035078602053,,,,,,
0.29998349017665504,0.05547300643883109,0.367508667657256,0.14429585603434036,0.09856364536899453,0.034175334323922724,,,,,,
0.22436536969293866,0.0699478993459705,0.39252854450726077,0.0999889147544618,0.039130916749806004,0.1740383549495621,,,,,,
0.1795656609823641,0.10013117621337997,0.4028567264247194,0.1641160180731672,0.06864888500218629,0.08468153330418307,,,,,,
0.26701311556545415,0.022024251422915125,0.3653798564711705,0.12422667656520664,0.10133630289532297,0.12001979707993073,,,,,,
0.19502074688796678,0.04234805955577252,0.44691237490846963,0.08762509153038808,0.07883817427385892,0.14925555284354405,,,,,,
0.33198115676524476,0.045276105731483905,0.3082962575242083,0.10507720492017797,0.0655587542528134,0.14381052080607173,,,,,,
0.1697032030561269,0.045841904202174544,0.33808404349103727,0.15265941816044665,0.06641198942109902,0.22729944166911545,,,,,,
0.2791932059447983,0.07843831092238734,0.3194149563576315,0.11606510969568294,0.06074545883463081,0.1461429582448691,,,,,,
0.21513193322563273,0.06206246634356488,0.47374798061389334,0.11900915455035004,0.05344641895530424,0.0766020463112547,,,,,,
